Split,Best_Model,Kernel,Accuracy,F1,AUC,MCC,Cost,Score
0.2,XGBoost,poly,0.880086,0.864711,0.962447,0.759270,11265,0.810450
0.4,RandomForest,cosine,0.877201,0.862144,0.962027,0.754262,22820,0.806603
0.6,RandomForest,sigmoid,0.875159,0.861555,0.959936,0.752463,33725,0.804867
