kernel,model,accuracy,f1,auc,mcc,cost,score
linear,RandomForest,0.9978333333333333,0.9978336943842693,0.9998282222222222,0.995666721981486,95,0.9967157192699115
linear,ExtraTrees,0.9695,0.9690826153066396,0.9968632777777778,0.9393424527474185,1575,0.9538206340094125
linear,GradientBoosting,0.9796666666666667,0.9797140006651147,0.9979213333333333,0.9593437795780297,880,0.9690963124377989
linear,AdaBoost,0.9678333333333333,0.9676662757580834,0.9956866666666667,0.9357166248712254,1525,0.9509055983189995
linear,DecisionTree,0.9888333333333333,0.9888277472069368,0.9956962222222221,0.9776671555003666,510,0.9823890280153946
linear,KNN,0.9906666666666667,0.9907007638658253,0.9981548888888889,0.9813597213606181,365,0.985652859116793
linear,XGBoost,0.998,0.9980013324450366,0.9998563888888888,0.9960008853345138,80,0.996972030756441
rbf,RandomForest,0.991,0.9910239361702128,0.9993286666666666,0.9820139665201754,365,0.9863779035144773
rbf,ExtraTrees,0.976,0.9758145784346658,0.99746,0.9521119326267288,1195,0.9635518106821768
rbf,GradientBoosting,0.9695,0.9694133377904062,0.9949180000000001,0.9390150765297608,1415,0.9532354873498732
rbf,AdaBoost,0.9515,0.9517652909000497,0.991188111111111,0.9030546364583086,2100,0.9255523968330431
rbf,DecisionTree,0.9773333333333334,0.9774535809018567,0.9952612777777778,0.9547209812274791,940,0.9651023005049766
rbf,KNN,0.9861666666666666,0.9862194919475344,0.9974865,0.9723619103894077,565,0.9787725864673388
rbf,XGBoost,0.9891666666666666,0.9892259240842035,0.9992486111111112,0.9783925278719585,405,0.9836470841410135
poly,RandomForest,0.9961666666666666,0.9961673054490918,0.9997071666666666,0.9923333884629675,170,0.9941915358023197
poly,ExtraTrees,0.8305,0.8507703595011005,0.9210443888888888,0.6868307369482407,5590,0.7500674295916563
poly,GradientBoosting,0.9776666666666667,0.9776443109776443,0.9971304444444444,0.9553352440057321,1020,0.9659251907906657
poly,AdaBoost,0.9695,0.969248865736851,0.9961921111111111,0.9391252772331105,1495,0.9535510028590847
poly,DecisionTree,0.9893333333333333,0.9893475366178429,0.9968770555555556,0.9786701463889289,460,0.9833792672451456
poly,KNN,0.9821666666666666,0.982252446508542,0.9966131111111112,0.964378392287536,730,0.9726127414743517
poly,XGBoost,0.9953333333333333,0.9953348883705432,0.9997339444444444,0.9906668868148881,205,0.9929470984963649
cosine,RandomForest,0.9975,0.9974979149291076,0.9998329444444445,0.9950013819473235,125,0.996217347744926
cosine,ExtraTrees,0.9913333333333333,0.9913014386082302,0.9993543333333333,0.9826930905472494,445,0.9868861739105643
cosine,GradientBoosting,0.9743333333333334,0.9742043551088777,0.9964672222222221,0.9487141035577965,1230,0.9608137524457897
cosine,AdaBoost,0.954,0.9537223340040242,0.9925218888888889,0.9080653830614553,2160,0.929522379321199
cosine,DecisionTree,0.9896666666666667,0.9896597731821214,0.9974649444444444,0.9793342038530126,475,0.9839929089042098
cosine,KNN,0.9901666666666666,0.990210718433715,0.9981326111111111,0.9803730392454838,375,0.9849087215374324
cosine,XGBoost,0.998,0.9980006664445185,0.999827888888889,0.996000221333407,85,0.9969657993556146
sigmoid,RandomForest,0.9973333333333333,0.9973324441480493,0.9997042777777778,0.9946668877037773,125,0.9959409213630046
sigmoid,ExtraTrees,0.9895,0.9894666443738506,0.9990937777777779,0.9790196349795764,520,0.9840791644786442
sigmoid,GradientBoosting,0.9805,0.9805356845782731,0.9974473888888888,0.9610064601206952,850,0.9702475683200917
sigmoid,AdaBoost,0.9735,0.9737840065952185,0.9963106666666667,0.9472223602368413,1030,0.959696186158644
sigmoid,DecisionTree,0.9881666666666666,0.9881804561345098,0.9968417222222222,0.9763359911404823,515,0.9816215838562331
sigmoid,KNN,0.9948333333333333,0.9948427882215938,0.9987616666666668,0.9896733194930086,205,0.9920079358005988
sigmoid,XGBoost,0.9973333333333333,0.9973333333333333,0.9997884444444445,0.9946666666666667,120,0.9959576888888889
