kernel,model,accuracy,f1,auc,mcc,cost,score
linear,RandomForest,0.8654118550884691,0.8545482849878056,0.9556737950098533,0.7389963154393503,34315,0.7938870083082963
linear,ExtraTrees,0.8353539961107244,0.8358544758257539,0.9107398193640631,0.7102024522770972,35610,0.762875128049356
linear,GradientBoosting,0.8360502244736273,0.8358058233752494,0.9312246990147688,0.7092527043811827,35865,0.7663024152073066
linear,AdaBoost,0.8198689170047776,0.8212081496485166,0.9055958767227871,0.6808428149289809,39985,0.7398299607596958
linear,DecisionTree,0.8436127049672293,0.8381614906832298,0.9344881588819113,0.7096209967676894,36855,0.7674484785820879
linear,KNN,0.843132547475572,0.8415154749199573,0.9339531264220493,0.7193229618773062,34560,0.7744682460905198
linear,XGBoost,0.8692531150217271,0.8551133340427796,0.9558698556883626,0.7406598803866541,35500,0.7951472208126084
rbf,RandomForest,0.8670683984346865,0.855562801617321,0.955904861976621,0.7408898644655384,34315,0.7953601576829331
rbf,ExtraTrees,0.8402516025256284,0.8409275639493187,0.9418934082454228,0.7208723879012705,33955,0.7770821095749058
rbf,GradientBoosting,0.8344176890019926,0.833425914744596,0.9322676857559042,0.7036476755397985,36840,0.7623495015034993
rbf,AdaBoost,0.8158596019494394,0.8142047381425318,0.8925448159240297,0.6643218794661909,42945,0.7249547526253928
rbf,DecisionTree,0.832593090533695,0.8333134128558793,0.9259510536781947,0.7052254450371188,36340,0.76217936354721
rbf,KNN,0.8405877127697885,0.8391784537880256,0.9316758915675093,0.7148425364750003,35205,0.7706427992248046
rbf,XGBoost,0.864715626725566,0.8543438364308424,0.9556119592911315,0.7386522343797416,34170,0.7936133395671296
poly,RandomForest,0.8729263198329051,0.8591050656160992,0.9585444497573585,0.7479804272570005,34405,0.801205695592982
poly,ExtraTrees,0.6920750006001969,0.6397595775755534,0.7587995014663171,0.3709013286490667,95810,0.47536678810516547
poly,GradientBoosting,0.8460375003000984,0.8392530392279735,0.9404837172542545,0.7110754492749821,36985,0.7697748618661358
poly,AdaBoost,0.8320409094182892,0.8323026031928664,0.9199909106727799,0.7026367690918973,36800,0.7590741808181707
poly,DecisionTree,0.8571291383573812,0.8440309264840781,0.9430406888271772,0.7195759549389087,37870,0.7767143988710794
poly,KNN,0.8396033899118911,0.8379774463441252,0.9307685975179889,0.7122077314801498,35645,0.7684968761741151
poly,XGBoost,0.8766235325186661,0.8592324759635138,0.9590125312467727,0.7505824372908529,35900,0.803133459949303
cosine,RandomForest,0.8740306820637169,0.8597021310730233,0.9599643971878022,0.7493112279981199,34480,0.8024809521435468
cosine,ExtraTrees,0.8449811538184524,0.8444208852372118,0.9450068376261836,0.7264173102426538,33295,0.7819355732188156
cosine,GradientBoosting,0.8404196576477084,0.8366549529403091,0.938507194125866,0.7077539868215458,36745,0.7667947248942861
cosine,AdaBoost,0.8224137517105611,0.8180991024222304,0.9093228521955147,0.670845353823968,42440,0.7332662283581036
cosine,DecisionTree,0.8420281852447603,0.8370561141102472,0.9279889869420201,0.7077459139010066,37020,0.7647255485301333
cosine,KNN,0.8435406813434807,0.8413081062653712,0.9358123017383133,0.7182779685789827,34835,0.7740878489794878
cosine,XGBoost,0.8762394065253403,0.8576399436635277,0.9602673146378488,0.7487830434377392,36760,0.8019655877003399
sigmoid,RandomForest,0.8751590521691115,0.8615548455804047,0.9599360917732039,0.7524626512990221,33725,0.8048665588219968
sigmoid,ExtraTrees,0.8435646892180635,0.8433201885159181,0.9385447881019645,0.7245781173109975,33525,0.7792456585896829
sigmoid,GradientBoosting,0.8388591457998223,0.8390330471485443,0.9388856190102984,0.7163361811699936,34720,0.7731157553359096
sigmoid,AdaBoost,0.826807192759225,0.8280743565300286,0.9113904065275282,0.6950034887544009,37830,0.751587959086589
sigmoid,DecisionTree,0.8350899094903128,0.8358465766519297,0.9385829479505747,0.7104934131593418,35530,0.768646636466847
sigmoid,KNN,0.846109523923847,0.843795691587874,0.9386857516602464,0.7231549757077088,34110,0.7783252024862328
sigmoid,XGBoost,0.8771276978849063,0.8585640855579506,0.9608867069002023,0.7505122765776537,36545,0.8033923435401931
