kernel,model,accuracy,f1,auc,mcc,cost,score
linear,RandomForest,0.9956666666666667,0.9956565319077848,0.9998001388888889,0.9913441280281656,460,0.9934665705882721
linear,ExtraTrees,0.97275,0.9724585193295713,0.9974598333333334,0.945711876329464,2770,0.9587361320302485
linear,GradientBoosting,0.9799166666666667,0.9797937452838098,0.9975162361111111,0.9599043822190223,1990,0.9694156893039189
linear,AdaBoost,0.9583333333333334,0.9580184718723762,0.9945287083333333,0.9167698090722739,3975,0.936446455204496
linear,DecisionTree,0.9841666666666666,0.9841903810950241,0.9949100416666667,0.9683376908627468,1380,0.9752374300467586
linear,KNN,0.9868333333333333,0.9868639840372464,0.998167625,0.9736772689879865,1115,0.9798940116953151
linear,XGBoost,0.9958333333333333,0.9958333333333333,0.9997900416666667,0.9916666666666667,375,0.9937080083333333
rbf,RandomForest,0.9919166666666667,0.9919024960347275,0.999662125,0.9838393593678642,780,0.9878102261609776
rbf,ExtraTrees,0.9780833333333333,0.9780632246225707,0.9979218888888889,0.956168273561921,2000,0.9667084917333796
rbf,GradientBoosting,0.967,0.9668230563002681,0.9951054861111113,0.9340531387567724,3130,0.9495405999819897
rbf,AdaBoost,0.9535833333333333,0.954001156164836,0.9921902222222221,0.9073163988290528,3905,0.928959639241265
rbf,DecisionTree,0.9803333333333333,0.9803300550091681,0.995323513888889,0.9606667200370413,1775,0.9695644123046234
rbf,KNN,0.9809166666666667,0.9809942733836833,0.9970970416666668,0.9618654094077217,1595,0.9708246222571069
rbf,XGBoost,0.9921666666666666,0.9921731890091591,0.9996679444444444,0.9843347004658111,680,0.9881851981158725
poly,RandomForest,0.9919166666666667,0.9919038477589517,0.9996268194444444,0.9838382662014511,775,0.9878025350057998
poly,ExtraTrees,0.81775,0.8438860732386323,0.9032291666666666,0.6744298667794945,11380,0.7371353474028427
poly,GradientBoosting,0.97525,0.9749978954457446,0.9967895694444445,0.9506933405096045,2530,0.9623430417901865
poly,AdaBoost,0.9646666666666667,0.964993394980185,0.9946263611111111,0.9294952861767575,2900,0.9460713120439709
poly,DecisionTree,0.9841666666666666,0.9842271293375394,0.9955341388888889,0.9683617928286696,1310,0.9753827956916004
poly,KNN,0.9791666666666666,0.9792909211398277,0.9958765555555555,0.9584023407862275,1695,0.9679860417754531
poly,XGBoost,0.9921666666666666,0.992162748040687,0.9996191111111112,0.9843338255003691,720,0.9881737748765492
cosine,RandomForest,0.9949166666666667,0.9949026489512827,0.99972925,0.9898483049021684,540,0.992329928326646
cosine,ExtraTrees,0.98975,0.9896716768830296,0.999291861111111,0.9796126755434179,1150,0.9845544127909177
cosine,GradientBoosting,0.9784166666666667,0.9783063908200017,0.9968196666666667,0.9568827868452845,2095,0.9670125232070327
cosine,AdaBoost,0.95675,0.9563902193093018,0.9940102083333333,0.9136243755840159,4140,0.933978126506408
cosine,DecisionTree,0.98775,0.9877244258872652,0.9963651111111114,0.9755084679922049,1165,0.9809013924054922
cosine,KNN,0.98725,0.9872765072765073,0.9982433333333333,0.9745084593115363,1085,0.9805322389123928
cosine,XGBoost,0.9958333333333333,0.9958291624958292,0.9997176527777778,0.9916686500059501,405,0.9936945018093035
sigmoid,RandomForest,0.9950833333333333,0.9950689511073966,0.9997019444444445,0.990183513682266,530,0.9925757435772147
sigmoid,ExtraTrees,0.98775,0.9876522469550609,0.9991470555555556,0.9756222992105577,1340,0.9815302452540074
sigmoid,GradientBoosting,0.9800833333333333,0.9799882776521812,0.9976750833333333,0.9602099971204522,1935,0.9696808424162013
sigmoid,AdaBoost,0.9731666666666666,0.9728682170542635,0.9969320694444443,0.9465624291651419,2745,0.9592669360099145
sigmoid,DecisionTree,0.9875833333333334,0.9875240726785565,0.9974905416666666,0.9752106740412716,1260,0.980897987430079
sigmoid,KNN,0.9916666666666667,0.9916749916749916,0.9986625694444445,0.9833353000059001,720,0.9872347230605181
sigmoid,XGBoost,0.9960833333333333,0.9960817007086286,0.9997814027777778,0.9921670111691608,365,0.994081358444831
