kernel,model,accuracy,f1,auc,mcc,cost,score
linear,RandomForest,0.9945,0.9944837577310971,0.999590388888889,0.9890171492176447,875,0.9916784580032388
linear,ExtraTrees,0.9719444444444445,0.971640366148144,0.9971343024691358,0.9441059941241764,4270,0.957465092995565
linear,GradientBoosting,0.9823888888888889,0.98236046964554,0.9977993086419753,0.9647827863236383,2450,0.9731438591194959
linear,AdaBoost,0.9601111111111111,0.9600133660057919,0.9942209074074075,0.9202332196429556,5495,0.9390087718321296
linear,DecisionTree,0.9805555555555555,0.9806115665854199,0.9933803024691358,0.9611271537624297,2495,0.9695262247860699
linear,KNN,0.9853888888888889,0.9854462951690554,0.9969694074074074,0.9708079871555998,1795,0.9775041020073069
linear,XGBoost,0.9952222222222222,0.9952158433466844,0.9997073271604938,0.9904479660434733,705,0.9927766259971984
rbf,RandomForest,0.9903333333333333,0.9903096458008465,0.9993191049382716,0.9806783864487715,1415,0.985369656081879
rbf,ExtraTrees,0.9771111111111112,0.9771770440948372,0.9977662716049384,0.9542381498857511,2960,0.9652376636504971
rbf,GradientBoosting,0.9671111111111111,0.9668940834358573,0.9945235925925926,0.9343025295527478,4735,0.9496058975490277
rbf,AdaBoost,0.9493888888888888,0.9483998867176437,0.9916350925925925,0.8994388584392109,7695,0.9227742080977305
rbf,DecisionTree,0.9737777777777777,0.973675404350251,0.9946391049382716,0.9475842174869659,3715,0.9596043136635555
rbf,KNN,0.9807777777777777,0.9808839779005525,0.9960246975308642,0.9616149163331876,2345,0.9704237787294594
rbf,XGBoost,0.9917222222222222,0.9917125535346794,0.9994559320987655,0.9834471216096972,1170,0.987475426900009
poly,RandomForest,0.991,0.9909678858162355,0.9994545185185186,0.9820248297812026,1375,0.9864050731321691
poly,ExtraTrees,0.8462222222222222,0.8603712671509282,0.9371928456790123,0.707118725053466,16200,0.7684588033883214
poly,GradientBoosting,0.9748333333333333,0.974817944299294,0.9967793888888888,0.9496673759863914,3425,0.9616048353981811
poly,AdaBoost,0.9579444444444445,0.9571808360201369,0.9938666851851852,0.9164720015019784,6480,0.9360218216904356
poly,DecisionTree,0.985,0.9849866548042705,0.9959052592592591,0.9700015328431396,2065,0.9766807903224767
poly,KNN,0.9770555555555556,0.9771835810176234,0.9945112037037038,0.9541711963385691,2845,0.9645404362795015
poly,XGBoost,0.9926111111111111,0.9926016576736941,0.9996682407407407,0.9852254394142493,1055,0.9888516215054921
cosine,RandomForest,0.993,0.9929734552754852,0.9995601234567901,0.9860281448099588,1115,0.9894290715858777
cosine,ExtraTrees,0.9892777777777778,0.9892664479172459,0.9991957592592592,0.978557736171212,1495,0.9837562119634249
cosine,GradientBoosting,0.9715555555555555,0.9714349475563491,0.9964920123456791,0.943144738895868,4030,0.9566432144518784
cosine,AdaBoost,0.9573888888888888,0.9569318883710484,0.9939647839506174,0.9149838474381194,6230,0.9349748388339119
cosine,DecisionTree,0.9798888888888889,0.9799156679982246,0.9940932160493827,0.959781190339188,2655,0.9686570432471305
cosine,KNN,0.9855555555555555,0.9856131031429837,0.997369475308642,0.9711421881583729,1770,0.9778347370868878
cosine,XGBoost,0.994,0.9939953297008784,0.999672024691358,0.9880011953601939,845,0.9909347746604952
sigmoid,RandomForest,0.9926111111111111,0.9925859858409053,0.999501327160494,0.9852448527049471,1150,0.9888302609096522
sigmoid,ExtraTrees,0.9905,0.9904814917895909,0.9988473580246914,0.9810074181396965,1370,0.9855228134816849
sigmoid,GradientBoosting,0.9780555555555556,0.9780470182848886,0.9972969506172841,0.9561114003053439,2980,0.9665420721656864
sigmoid,AdaBoost,0.9742222222222222,0.9742793791574279,0.9965407098765432,0.9484538119357601,3380,0.9606537482460834
sigmoid,DecisionTree,0.9836666666666667,0.9837191272566176,0.994999660493827,0.9673534210536809,2060,0.9745192395620037
sigmoid,KNN,0.9905,0.9905100172040624,0.9975893024691357,0.9810021860628626,1235,0.9852703924582372
sigmoid,XGBoost,0.9947222222222222,0.9947184077389225,0.9996707345679012,0.9894454766442764,745,0.9920178213384659
